number ,clean_text,airsentiment_line_x,Polarity,Analysis
9601,guys screwing trip thanks nothing lazy,negative,0.4784,Neutral
9602,refund system,neutral,0,Neutral
9603,usairways seriously ridiculous not wait hour luggage land wtf,negative,-0.7906,Negative
9604,not case sent email link show http co hb799cco0t,neutral,0,Neutral
9605,usairways waiting 40 min far luggage wannagohome,negative,0,Neutral
9606,time tweet tell horrible attendants flight 3841 lga feel jail,negative,-0.5423,Negative
9607,hello anyone,negative,0,Neutral
9608,forced sections 4 5 check carry would packed differently check bag even allow pissed,negative,-0.743,Negative
9609,raleigh chicago no firstclass upgrade must flying aa nothe screw usair elite bailed airline,negative,-0.3818,Neutral
9610,flt 419 2 hrs late flight baggage 1 hr see delivered suitcase wet inside amp nothappy,negative,0,Neutral
9611,get hotel ur agents nothing help top sent luggage wrong flight,negative,-0.714,Negative
9612,take late flightr flight booked corporate disney travel dept agent offered little help,negative,0.3415,Neutral
9613,computer system went ok understandable agents make worse not helping anyone else,negative,-0.4191,Neutral
9614,employee responsible social media content yes u probably care however actions last night say otherwise,negative,0.802,Positive
9615,flight gets 30 minutes early goodwill gone bags not 45 minutes late flightr,negative,0,Neutral
9616,wow awful customer service,negative,0.2023,Neutral
9617,merging american negatively affect quality integrity no longer fly,negative,0.1027,Neutral
9618,many agents working handle thousands calls,negative,0,Neutral
9619,best amazing follow please,positive,0.8834,Positive
9620,flight 435 delayed miss connecting flight 457 please help alternate thank,negative,0.6124,Positive
9621,4469 thank asking,neutral,0.3612,Neutral
9622,three hour wait counting waiting reservations phone serious,negative,-0.0772,Neutral
9623,happy note 719 crew wonderful ca not say enough great things pilot us,positive,0.6256,Positive
9624,mess caused computer systems flight 719 3 hours late flight no gate us est 26 min wait,negative,-0.5719,Negative
9625,storm no storm customer service joke 6 hour wait time speak someone never fly airline,negative,0,Neutral
9626,guys luggage san jose supposed deliver hotel hours ago please contact,negative,0.3182,Neutral
9627,flown 6 figured worth miles lifetime first last ever flight us airways,negative,0.2263,Neutral
9628,pls get back tallahassee no one ever stranded gainesville long,negative,-0.2263,Neutral
9629,miserable airline loss revenue reflection go extinct merger delays inevitable,negative,-0.6705,Negative
9630,point merger not go business not turning profit anymore,negative,-0.3412,Neutral
9631,love give feedback link fill personal info form guys best,negative,0.8555,Positive
9632,finally got ahold agent another hour thanks follow recommend call back feature,negative,0.6597,Positive
9633,ringling brothers barnum bailey keep eyes peeled clown car,negative,0,Neutral
9634,not mention fact flight delayed computers,negative,-0.2263,Neutral
9635,cannot add frequent flyer number website help,negative,0.4588,Neutral
9636,get plane wait hour half speak someone reflight booking problems,negative,-0.4019,Neutral
9637,please not trivialize joke not slow day slow experience,negative,0.3018,Neutral
9638,1 agent phx customer service desk hour ago line 100 people long,negative,0,Neutral
9639,sorry not help midnight pst hell still hold 90 minutes customer service line,negative,-0.7997,Negative
9640,like thought america us airways start operating rules communist russia,negative,0.3612,Neutral
9641,guys nice give routes jet blue southwest least treat customers properly,negative,0.1386,Neutral
9642,nope apparently way guys business guess flying southwest blue,negative,0,Neutral
9643,keep thinking massive practical joke someone gonna appear thin air take reno tonight,negative,0.296,Neutral
9644,50 people line one agent,negative,0,Neutral
9645,way planning ben waiting line customer service phx hour,negative,0,Neutral
9646,already planning local boycott washington c area,negative,-0.3182,Neutral
9647,legitimately say would rather driven cross country flown us airways,negative,0,Neutral
9648,despite fact see answering people twitter mundane qs refuse answer,negative,-0.296,Neutral
9649,guys worst airline ever dealt no notifications no keeping customers updated terrible service,negative,-0.8182,Negative
9650,hey guys thanks answering thanks keeping hold hour customer service 12 pm pst,negative,0.7003,Positive
9651,pdquigley progress good luck patrick,neutral,0.8271,Positive
9652,landonschott fine really likes picking seat,positive,0.5984,Positive
9653,worst airline ever travel,negative,-0.6249,Negative
9654,lazy inconsiderate unprofessional airline ever traveled,negative,-0.8271,Negative
9655,pride service concerns wife everyone else flight not care,negative,-0.0588,Neutral
9656,u horrible people say no sleep,negative,-0.6908,Negative
9657,charge company wife missed connection ca sent luggage another flight,negative,-0.296,Neutral
9658,call hung,negative,0,Neutral
9659,got message site call flight gave hold 3 hours http co 5cdx2roae6,negative,0,Neutral
9660,usairways lost passenger today not upholding promise excellent customer service,negative,-0.7399,Negative
9661,yet staff philadelphia failed send luggage home alwayshappensthere angrytraveler,negative,-0.5106,Negative
9662,ok 4th try today giving 12 45am 138 minute hold time terrible http co ps9q9rpsil,negative,0.128,Neutral
9663,number email purpose sending tweet,negative,0.0772,Neutral
9664,thank next time,positive,0.3612,Neutral
9665,still says not check flight information incorrect everything entered correctly,negative,0,Neutral
9666,says estimated leave hour ago not left yet thanks useful information theworstairline,negative,0.0757,Neutral
9667,customer service horrendous way employees speak customers lack care problems flights,negative,-0.6808,Negative
9668,mom sit 3 hours waiting flight ultimately cancelled flighted give tuesday morning flight no compensation ugh,negative,-0.2187,Neutral
9669,anyone airline know job,negative,0,Neutral
9670,worst airline time,negative,-0.6249,Negative
9671,denied standby bc checked bag cvg 5163 phl 6 take delayed 3751 4 hrs late flightr except u lost bag cvg,negative,-0.7269,Negative
9672,reminded today fly,negative,0,Neutral
9673,looks like bag rescued thanks,positive,0.802,Positive
9674,trying get book reservation system not let day 3 ridiculous,negative,-0.3612,Neutral
9675,worst,negative,-0.6249,Negative
9676,making folks run gate c29 a18 b11 no explanation zero carts transfer elderly handicap phl,negative,-0.296,Neutral
9677,waiting airplane total 3 hours take 2 flights today usually not happen,negative,0,Neutral
9678,not given option new flight not get plane phl mia 20years eventprof worst travel experience ever,negative,-0.743,Negative
9679,not let u stand flight due checked bag causing u get 5 hours late flightr get phl amp bag not make,negative,0,Neutral
9680,not merged marketing departments would us believe maybe delta get home,neutral,0,Neutral
9681,absolutely worst experience life phl 6 hrs 1 failed departure 3 gates zero communication help,negative,-0.7178,Negative
9682,soon call customer service speak representative disconnected,negative,0,Neutral
9683,trying call customer service since 9pm hour disconnected spoke no one,negative,-0.296,Neutral
9684,give us no information attitude,negative,-0.296,Neutral
9685,looking help recover item left airplane evening,neutral,0.4019,Neutral
9686,attendants gate enjoyed watching flight destination take horrible attendant give us,negative,-0.0516,Neutral
9687,stranded miami without updating departure boards cancelled flightled flight no,negative,-0.4939,Neutral
9688,absolutely terrible managing delays delayed undelayed delayed 6 times 10 office hours,negative,-0.7346,Negative
9689,rude unreliable horrible company equally rude unreliable horrible employees stay tuned,negative,-0.9186,Negative
9690,phl take hour offload bags especially taking 30 min get jetway get plane landing,negative,0,Neutral
9691,flight 703 philly gt mia bwahahaha delayed 5 hrs air 30 mins turned back around usairwaysfail,negative,-0.25,Neutral
9692,tired paying luggage amp less stellar customer service notafanofyourmerger,negative,-0.4404,Neutral
9693,heard debacle dca happening new orleans flight wewanttoknow,negative,0,Neutral
9694,think little weak sauce zero inflight entertainment 4 hour flight salt lake philadelphia,negative,0.0498,Neutral
9695,flew good weather landed another technical issue gate improve service lose customers,negative,0.4767,Neutral
9696,stranding customers not reflight booking problems not answering phone way treat platinum members,negative,0.607,Positive
9697,made reservation online not receive confirmation email bank said transaction went u help,negative,0.4019,Neutral
9698,worst flying experience life flight scheduled departure 5 44pm phl 5 hrs late flightr guess,negative,-0.6249,Negative
9699,issued memphis travel advisory tomorrow winter weather coming,neutral,0,Neutral
9700,update flight three hours delayed thank,negative,0.1531,Neutral
9701,partner w different hotel phl clarion proving difficult amp not customer friendly,negative,-0.6283,Negative
9702,truly dissapointed flight delayed going miss connection expected rebook flight,negative,0.1027,Neutral
9703,kind screwed day least outbound save stranding renhotels marriottrewards,negative,0.5267,Positive
9704,nightmare trying get costa rica phl today stuck miami no one answers 800 number,negative,-0.4404,Neutral
9705,peterpiatetsky ummmm think us air computers hours flight 3 hours late flight,negative,0,Neutral
9706,comedy errors continues not get gate broken truck way fail,negative,-0.2134,Neutral
9707,instructions say call said,negative,0,Neutral
9708,usairways since loyal usair customer sure make right want get home amp back work,positive,0.6908,Positive
9709,fact not get notified hindered ability look alternate flights snapped,negative,0.3182,Neutral
9710,really fudgin delays justwantmybed,negative,0,Neutral
9711,discovered billed us 300 rescheduled flight cost second day lost work,negative,-0.3182,Neutral
9712,today usair cancelled flightled rescheduled flight amp not notify us except possibly home phone not helpful since co,negative,-0.5158,Negative
9713,not get phones,negative,0,Neutral
9714,thanks ruining last night vacation worry flight not record,negative,-0.25,Neutral
9715,janet amp den phl flight cancelled flightled saturday usair rescheduled automatically amp notified us email no additional cost,positive,-0.4939,Neutral
9716,2 hrs trying reach real human finally hold 1 36 hrs synch reservation,negative,0.0258,Neutral
9717,usairways usair idiots took plane amp gave someone else fudgers flight 799 philly orlando,negative,0,Neutral
9718,missed flight rude csr no flight till tuesday no answer twitter help rt pattonoswalt hope,negative,-0.4588,Neutral
9719,delayed 2 5 hours longbeachairport trying get phxskyharbor give us update please,negative,0.1027,Neutral
9720,phlairport always nice customer service manager threatens customers standing understaffed lines last hour,negative,0.0516,Neutral
9721,passed 3 hour mark onholdwith call gave 2 5 morning,negative,0,Neutral
9722,lost amp found wife lost phone philly amp followed web instructions call 800 no answer,negative,-0.7003,Negative
9723,help seat assignment 5 people flight 694 phx hnl seats split anything great,neutral,0.7783,Positive
9724,follow dm please,neutral,0.3182,Neutral
9725,dinner reservations minutes trying get since breakfast onholdwith,negative,0,Neutral
9726,clt please send one cust svc rep cust svc counter assist line door http co v24qnp3doi,negative,0.3182,Neutral
9727,help hold almost two hours trying 2 get home,negative,0.4019,Neutral
9728,please call late flightr not acceptable neither hold 5 hrs onholdwith,negative,0.0869,Neutral
9729,sitting gate 25 min us 728 gives,negative,0,Neutral
9730,would not need wait hold 6 hours website worked correctly please respond,negative,0.3182,Neutral
9731,get answer question holding hours 6x getting message said not taking calls,negative,0,Neutral
9732,hell overbook plane knew people actually seat assignments inept uncaring piss poorplanning,negative,-0.8074,Negative
9733,worst service reagan int rarely post company service annoyed not weather relate flightd incompetence,negative,-0.875,Negative
9734,hold 2 5 hours not getting 2 hours hold morning no answer help,negative,-0.5358,Negative
9735,far phone wait time longer abcnetwork oscars coverage whatcustomerservice,negative,0,Neutral
9736,chairman preferred 518 758 lifetime miles us air reward no firstclass upgrades usual,negative,0.3612,Neutral
9737,flight 4424 operated flyrepublicair n813ma arrives flytpa following flight reagan national http co osc9oflol3,neutral,0,Neutral
9738,45 minute delay take 30 minute wait checked bags really,negative,-0.3182,Neutral
9739,hold 90 minutes terrible customer service messed reservation http co oylgeao7y8,negative,-0.6705,Negative
9740,not help get luggage back teen trying change world dc flight5182 usairways,negative,-0.3089,Neutral
9741,southern hospitality luggage delivery service sav awful great delivering empty promises not luggage 8hrs amp waiting,negative,0.4404,Neutral
9742,1st flight u air plane mechanical issues wait 90 minutes help customer service no help management,negative,0.1134,Neutral
9743,flight missed due mech issue no food voucher transported different airport no rental reimbursement,negative,-0.6808,Negative
9744,phlairport not control stupidity not room plane come better not mess us,negative,0.7518,Positive
9745,interesting forward compliments never complaints world worst airline goingforgreatnessfail,negative,0.8736,Positive
9746,flights 4500 403 delayed crew availability gives getting tpa 2 5 hrs past scheduled arrival,negative,-0.2263,Neutral
9747,airport dca airline mess flights also not cover hotel costs dca 5hrs,negative,-0.3612,Neutral
9748,line 90 min mechanical issues caused miss flight 1 rep 20 upset people http co xfwxsrwkha,negative,-0.4939,Neutral
9749,entire flight crew flight 738 bos phl wonderful job making experience not totally suck,positive,0.7448,Positive
9750,someone please answer call waaaaaaiting,negative,0.3182,Neutral
9751,holding luggage hostage flight 5182,negative,0,Neutral
9752,major issues getting boston crew exceptional let see things roll philly,positive,0,Neutral
9753,trying set phone interview days hoping position not filled link not work,negative,0.4215,Neutral
9754,email,neutral,0,Neutral
9755,call find booked tomorrow ask number email day info,negative,0.0772,Neutral
9756,us airways care customers worst experience today us airways wife toddler,negative,-0.2263,Neutral
9757,thanks whole team time flight despite inclement weather http co eqepkkpsxm,positive,0.4404,Neutral
9758,rude staff said not care market place food going vacation work nice huh,negative,-0.4268,Neutral
9759,happens frequent flyer miles earned merger complete aa,neutral,0,Neutral
9760,got stand list earlier flight dca status checked bag supposed 4047 thanks,negative,0.4404,Neutral
9761,flight keep getting delayed late flightr late flightr,negative,-0.2263,Neutral
9762,idea flight 703 miami leave second time,neutral,-0.0516,Neutral
9763,contacted got automated response not give code,negative,0,Neutral
9764,gregwallace66 yea give 5 cents dollar,neutral,0,Neutral
9765,really letter says discuss serving drunks drinks not help current situation,negative,-0.3089,Neutral
9766,great thank,positive,0.765,Positive
9767,mean might care sister assaulted one flights,negative,-0.0516,Neutral
9768,top dozen ppl missed connections one person customer service abysmal,negative,-0.1027,Neutral
9769,not often airline easy work needed change flight time attendants mke made day,positive,-0.3412,Neutral
9770,possible someone drunk bring wheelchair keep serving,negative,-0.34,Neutral
9771,service phl abysmal hour runway waiting gate no information anywhere missed connection abysmal,negative,-0.5267,Negative
9772,worst customer service ever let people assaulted flights nothing,negative,-0.8176,Negative
9773,not providing pilots flights new feature merger efficencies,negative,0,Neutral
9774,know flight pilots 1581 coming thanks,neutral,0.4404,Neutral
9775,guess ok people sexually assaulted flights nice customer service,negative,0.1531,Neutral
9776,please help need plane wait go elmira tarmac hr baggage took 45 still not thru customs,negative,0.6124,Positive
9777,usair 703 returned phl due issues fire detectors happens next,negative,-0.34,Neutral
9778,ur specialist said would talk stewardess not serving drunks drinks really help,negative,0.4576,Neutral
9779,wrong boston plains not leaving tonight son needs get back state college pa,negative,-0.4767,Neutral
9780,two hours hold talk agent disconnects trying two days wtf hire csrs u make,negative,-0.5859,Negative
9781,not pilot clt ord least another hour earth would board plane makes no sense,negative,-0.296,Neutral
9782,flight 2120 please get us flight plan already issue 21st century,negative,0.3182,Neutral
9783,fail inbound flight arrives scheduled outbound departure still time http co k0mhzrjf6e,negative,-0.5423,Negative
9784,thanks three cancelled flightled flight making us go raleigh charlote lexington philly istead raleigh philly,negative,0.2263,Neutral
9785,rant cont top rescheduled flight tpa 10 10 already delayed bad,negative,-0.7184,Negative
9786,advise happening departure delays clt,negative,0,Neutral
9787,provide info checking strollers car seats costs restrictions need bring 2 seats 1 stroller,neutral,0,Neutral
9788,delay mechanical issues weekend flights ridiculous tweet long delayed,negative,-0.6908,Negative
9789,another great flight funflightattendants thanks showing dad wonderful customer service flt635 lax phx sundayfunday,positive,0.8934,Positive
9790,happening sitting philly hours pls take care flight 759 chicago least least us know solate flight,negative,0.5423,Positive
9791,phlairport pm w answer flt 4278 still time ground hr w no gate need help pls,negative,0.2023,Neutral
9792,phlairport plane scheduled come time actually happen bozos not room us incompetent,negative,0.3724,Neutral
9793,phlairport reason avoid phlairport like plague glad see merger working well dumb,negative,0.2732,Neutral
9794,word accommodations passengers us 746 arrive charlotte lot tired passengers,negative,-0.4404,Neutral
9795,thank couple easy hassle free flights today professional friendly staff made everything easy,positive,0.93,Positive
9796,hire smarter people systems keep crashing instead mooks man airports godelta,negative,0.4588,Neutral
9797,flight 614 keeps telling mins take hour first time not best lies brokenpromises,negative,-0.2584,Neutral
9798,wrong guys inability get planes philly time pilot gave us answer bs,negative,-0.7003,Negative
9799,guys worst flying philadelphia two jetways available time plane pisspoor,negative,-0.6249,Negative
9800,received two reservation check ins two different flights one flight tomorrow morning need assistance asap,neutral,0,Neutral
9801,luggage waiting hour flight 2118,negative,0,Neutral
9802,cancelled flightled last part ticket confused email received whether value remains someone ask,neutral,-0.2263,Neutral
9803,suck philadelphia let us plane phl,negative,-0.4404,Neutral
9804,pissing thousands east coast customers delay longer flight fail,negative,-0.8176,Negative
9805,please people hold flight 599 phoenix san jose pulling gate scheduled depart 5 40,neutral,0.3182,Neutral
9806,2 hours counting kind travel voucher get,negative,0.5267,Positive
9807,waiting gate 2 hrs waiting stow luggage,negative,0,Neutral
9808,1h 10m waiting get bag 1h40m flight delays plus 2hrs delay way never flying,negative,-0.3182,Neutral
9809,stuck florida no flights service sucks nofood nodrinks nohelp,negative,-0.6908,Negative
9810,not gate agent flight 759 provide update seriously ridiculous long people waiting,negative,-0.4939,Neutral
9811,ivr hung high call volume need help call,negative,0.4019,Neutral
9812,tweeted apology not enough delay fiasco none insult gate agent worse except mark n bad clt,negative,-0.0088,Neutral
9813,sorry philly told,neutral,-0.0772,Neutral
9814,pilot flight 729 not show departure amp broken computer next time flying united alwayslate flight,negative,-0.0772,Neutral
9815,pilot says going take 10 minutes maybe systems came back online,neutral,0,Neutral
9816,flt 4827 elm still no gate still make thru customs,negative,-0.296,Neutral
9817,according costumer support website holding money hostage cant anything,negative,0.4019,Neutral
9818,way tell gate going stuck tarmack int l flt flt 878 going elm gate f6,negative,0.25,Neutral
9819,sucks delayed mom flight 2x cancelled flightled delayed flight today mech issues 2 sleep airport,negative,-0.743,Negative
9820,routing system goes grounds long haul flights think failover plan,negative,0,Neutral
9821,truthh4 not give wifi password smh,negative,-0.3182,Neutral
9822,sitting gate flight 719 hour due computers backup plan place,negative,0,Neutral
9823,cancelled flightled need locate baggage,negative,-0.25,Neutral
9824,need help locating bag arrived denver last night midnight charlotte 8am flight hayden steamboat,negative,0.4019,Neutral
9825,555phltoslc happening,neutral,0,Neutral
9826,going computers flight grounded airline suck much unansweredquestions,negative,-0.4404,Neutral
9827,2hrs late flightr finally taking,negative,0,Neutral
9828,holding passengers hostage computer crash not customer friendly let us plane get us moving,negative,-0.6517,Negative
9829,hold hour,negative,0,Neutral
9830,pilot tells us airways flights across country stopped due computer system failure,negative,-0.6369,Negative
9831,flt 4609 landed half hour ago not single bag yet baggage claim hate much right,negative,-0.5719,Negative
9832,one please answer phone,negative,0.3182,Neutral
9833,no word delay reasons lgb twitter aflame flight tracking computer crash rumors true not,negative,-0.0356,Neutral
9834,stuck gate charlotte nc waiting release papers fix broken computer system,negative,-0.6249,Negative
9835,sitting gate flight 719 hour due sabre backup plan place sabre cannot fixed,negative,0,Neutral
9836,not cancelled flightling 837 not want put us hotel night guess,negative,0.1326,Neutral
9837,get beer please flight 1715,neutral,0.3182,Neutral
9838,really 8 hr delay virgin island not even food voucher,negative,-0.3744,Neutral
9839,usairways worst ever dca customerservice,negative,-0.6249,Negative
9840,2nd february row stranded us try return cancun no contact info no way rebook badcustomerservice,negative,-0.5267,Negative
9841,printer problems causing us sit runway 45 mins get together,negative,-0.4019,Neutral
9842,nothing like back back delayed flights let hope one not 12 hours like last time,negative,-0.3004,Neutral
9843,please help find luggage since one lost customer service sucks,negative,0.0516,Neutral
9844,happening reagan airport dca long lines four people working checkin unhappy dca,negative,-0.4215,Neutral
9845,aurorabiz check bag phlairport bag handlers broke suitcase stole camera bag returned trash bag,negative,-0.4215,Neutral
9846,usairways hopefully crappy service improves u become americanairlines angryairtravel winterstorm,negative,0.2263,Neutral
9847,usairways 2 people working counter dca massive lines poorly played winterstorm,negative,0.34,Neutral
9848,going clt,neutral,0,Neutral
9849,center lost bag lands hartford 639p tonight delivered danbury ct tonight,negative,-0.3182,Neutral
9850,ideas geeks plug servers 639 way phx,neutral,-0.1027,Neutral
9851,contact awful experience 2 15 15 flight 713 buf clt,negative,-0.4588,Neutral
9852,nvm bad hour half thanks,negative,-0.1531,Neutral
9853,crappy flight due delays rude staff members happy report paying 25 check luggage ruined,negative,-0.7184,Negative
9854,always letting,negative,0,Neutral
9855,please keep emily gso airport ticketing staff amazing,positive,0.7269,Positive
9856,usairways not understand not get missing miles flight dividend miles account help,negative,0.5556,Positive
9857,not seem find pilots 6pm flight never seen anything like drunkpilots http co zira2z3udc,negative,-0.2755,Neutral
9858,really no meal vouchers 7 hour flight delay virgin islands,negative,-0.5849,Negative
9859,automated message says line busy join queue stuckintheloop,negative,0.296,Neutral
9860,usairways hi suggested contacted u via phone sent mail original ticket amp result http co 214i0rtih4,negative,0.3182,Neutral
9861,stuck ramp dca us air computer system crashed everywhere,negative,-0.25,Neutral
9862,flight2031 flight hell,negative,-0.6808,Negative
9863,gave 2 hours hold still need receipt last time promised never arrived help,negative,0.0624,Neutral
9864,prepared claim bag lost many valuables carry hands us2146 aa2924,negative,0.4019,Neutral
9865,told deserved delayed booked last flight hear inconvience missing flight,negative,-0.4767,Neutral
9866,update computer outtage affecting flights national northeast eta resolution,neutral,0,Neutral
9867,flight 2031 worst experience ever flight regretting opening air miles card hotterandlongerthanhell,negative,-0.7783,Negative
9868,hello never received confirmation code flights though confirmed says automated reply ideas,negative,0,Neutral
9869,5 hours phone waiting call back find luggage shameonyou,negative,0,Neutral
9870,going phlairport sitting gate 45minutes,negative,0,Neutral
9871,799 ams phl today 3 4 flight attendants downright rude hostile made 8 hour flight even worse,negative,-0.8271,Negative
9872,hell not put us hotel stranded us message says mechanical issues not weather usairways,negative,-0.6808,Negative
9873,wife left phone flight awe474 friday february 20th upon landing minneapolis get back thanks,neutral,0.4404,Neutral
9874,deal flight computer network,negative,0,Neutral
9875,anyone actually work dividend miles department http co bgtjfmneot,negative,0,Neutral
9876,no flights philly system wide tech issue cbsphilly,negative,-0.296,Neutral
9877,huge system problems dca manual check flight boarded sitting gate due system issues frustrated chairman member,negative,-0.5859,Negative
9878,epic fail clt ystrdy w cancelled flightled flights no staff no communication amp no refund unused portion tix keep classy guys,negative,-0.6264,Negative
9879,tryng rsrv flight phone past 4 days keep getting automated message call back,negative,0,Neutral
9880,got int flight 799 intentionally rude staff made horrible 8hr flight unsuitable plane,negative,-0.7579,Negative
9881,plane bos clt 60 mins still gate crew says system wide computers preventing paperwork info give,negative,-0.0258,Neutral
9882,hold 475 today connecting passengers coming delayed flights,negative,-0.2263,Neutral
9883,provided best service today thank much,positive,0.7717,Positive
9884,guys please give update sitting tarmac flight 601 yet website still says time,negative,0.3182,Neutral
9885,flight cancelled flightled buf today waited line 2 hrs amp cus service rude no flight tues need get roc,negative,-0.7351,Negative
9886,seriously keep trying seven hours corporate policy usairwaysfail,negative,-0.1779,Neutral
9887,name rett cavan gofundme page going take last breath tonight airline cares money,negative,0.4588,Neutral
9888,would let us switch different set flights could spend time family passes away,negative,0,Neutral
9889,8 months old suffering rare form cancer customer service agents no compassion disgusted,negative,-0.8022,Negative
9890,best part hearing attendant give voucher person next hotel bgr guy saying not,negative,0.6369,Positive
9891,horrible cust service exp dia today wife waited 3 hrs plane b f flight 695 cancelled flightled still waiting bags,negative,-0.6705,Negative
9892,really good deferring responsibility,negative,0.2992,Neutral
9893,thank much asking us pay 700 switch different flight could spend time dying nephew,negative,0.2732,Neutral
9894,gma could not worse airline experience rude unhelpful got yelled need help,negative,0.308,Neutral
9895,please help no bags no way get customer service since 8am morning help,negative,0.7497,Positive
9896,real staff behave offensively flight 699 please look message want particulars,negative,-0.296,Neutral
9897,glad people put coats storage area though would super unfortunate leave floor,neutral,0.5719,Positive
9898,usairways lax connect term 6 term 4 55min layover due delay us755 aa2595 realistic 2595 held,negative,-0.3182,Neutral
9899,good luck getting not cool,neutral,0.6044,Positive
9900,left item plane bos phl friday called phl us airways amp left 6 msgs no return call point,negative,-0.296,Neutral
9901,great way kick someone cancelled flight noon flight rebook one two hours south tomorrow,negative,0.4767,Neutral
9902,thanks making check bag space empty flight attendant dirty look http co 9rx5homm25,negative,-0.2023,Neutral
9903,apparently computers crashed bwi update flights moving,negative,0,Neutral
9904,made bahamas work luggage not know travel happens anyway get help info,negative,0.4019,Neutral
9905,24 hrs late flightr still not home hotel rental car etc 5 yr old happened customer service first priority,negative,0,Neutral
9906,saw online fee wondering way pay ahead time instead kiosk,neutral,-0.1027,Neutral
9907,cancelled flights flight ny 3 times make decided amp gs cancelled flight return flight thanks,negative,-0.0258,Neutral
9908,need get together,neutral,0,Neutral
9909,hold gt 70 mins 3rd attempt get receipt showing change fees upcoming flight please help,negative,0.7269,Positive
9910,everyone flight 669 lax rdu enjoyed waiting hour amp half baggage claim bags,negative,0.5106,Positive
9911,no need corporate office number please dealing 480 number,neutral,0.1779,Neutral
9912,cstsvc phl honors ur system reality no rcd change hpn extra hours phl 75 get cle,negative,0.2732,Neutral
9913,usairways raleigh nc baggage carousel staff aggressive towards people waiting 1 1 2 hrs bags flight 699,negative,-0.1531,Neutral
9914,flight 4035 delayed time arrive bhm,neutral,-0.2263,Neutral
9915,hold 2 hours book using take flight voucher online,negative,0,Neutral
9916,get baggages usaireays 699 la rdu http co vu5lbzxtrx,negative,0,Neutral
9917,worst customer service flights always delayed,negative,-0.7184,Negative
9918,going make wait phone long time least turn ads eating away soul,negative,0,Neutral
9919,despite mechanical issues many delays followed cancelled flightlation still getting vegas thanks great gate agents,positive,0.7184,Positive
9920,us airlines 699 la rdu holding onto baggages hour already everyone still waiting,negative,0,Neutral
9921,learned never fly u lost 16 customers group hundreds company,negative,0.2411,Neutral
9922,spoke reps nh pa poor communications bags still sitting philly train staff,negative,0.0258,Neutral
9923,thanks worst customer service face earth loved 5 hrs hold along w 2 cancelled flightled flights,negative,0.1779,Neutral
9924,tried reaching guys running time patience want flight honor want confirmation,negative,0.6808,Positive
9925,bereavement discount airfare grandfather passed need attend funeral week,neutral,-0.3612,Neutral
9926,six hours even gate agent got fed left us line front empty desk stay classy us air,negative,0.2732,Neutral
9927,lose pilot,negative,-0.4019,Neutral
9928,ads phone systems waiting rep annoying thing ever especially waiting 10 mins,negative,-0.4019,Neutral
9929,missing connection due delay las supposed,negative,-0.5423,Negative
9930,695 might cancelled flighted mechanical issue 6 hours late flightr 100 people still waiting zero information please send help,negative,0.4588,Neutral
9931,6 hours no agent keep waiting,negative,-0.296,Neutral
9932,hard unload bags order arrival 45 mins counting flight 699,negative,-0.1027,Neutral
9933,policy tell customers not help sorry unacceptable,negative,0.1139,Neutral
9934,thank correctly interpreting last tweet non sarcastic delaying flight yyz terminal 3 dance party,negative,0.4939,Neutral
9935,not help not put people hotels miss flight policy,negative,-0.4325,Neutral
9936,friends kphl told rep woulda gone home tried tomorrow 1 2,negative,0.4767,Neutral
9937,ann marie lga best ticket agent ever excellentcustomerservice,positive,0.6369,Positive
9938,wasted day vacation problems not one two planes waitinginphilly flight838,negative,-0.7096,Negative
9939,unacceptable way agents gate treat paying customers,negative,-0.0772,Neutral
9940,mad love http co 4ojrsdwpkk nyc,neutral,0.25,Neutral
9941,like usdelay ways another long paperwork relate flightd delay friday charlotte today philly letsgoalready,negative,0.0516,Neutral
9942,customer service clt terrible flight delayed jfk 2 hours get clt horrid customer service,negative,-0.8176,Negative
9943,flight 2022 phil no update supposed leave 15 minutes ago sitting airport wondering irritated,negative,-0.6597,Negative
9944,flight 4454 aircraft gate no crew 2 hours late flight destination come,negative,-0.296,Neutral
9945,please someone contact regarding missing bag 3 days online tracking shows nothing,negative,0.0258,Neutral
9946,3818 delayed blue skies whyisusairalwaysdelayed,negative,-0.2263,Neutral
9947,ill never fly due emotional amp financial stress caused one staff members errors,negative,-0.8148,Negative
9948,bags,negative,0,Neutral
9949,thanks incurred us approximately 2000 dollars fees due staff members screw neveragain,negative,0.3612,Neutral
9950,aa gate supervisor 600117 asked superiors name response received ceo americanairlines merger,neutral,0.25,Neutral
9951,usairways barclaycardus 1 hr wait far customer service yes bad weather air traffic controllers answer phones,negative,-0.2023,Neutral
9952,aa gate supervisor emplid 600117 allowed flight aa67 leave jfk sj 20feb15 w 8 customers made final boarding call,neutral,-0.0516,Neutral
9953,thanks bad make two day train trip look appealing,negative,-0.1531,Neutral
9954,got kidding no info 4565 dca bgr phone line tells call back late flightr,negative,-0.2023,Neutral
9955,pretty ridiculous phx sky harbor 4 employees working check sunday afternoon 30 min amp counting,negative,0.1779,Neutral
9956,really hoping not get charged flight could not handle influx calls bummer,negative,0.2698,Neutral
9957,usairways hold 3 hours please help http co tyxaztmq1u,negative,0.6124,Positive
9958,promise help nvr fly w u even 2 pay 2 fly w sum1 else badcustomerservice,negative,0.5574,Positive
